Nazwa kategorii,Ilość bezpośrednich artykułów,Ilość bezpośrednich subkategorii,Ilość subkategorii ,Ilość artykułów,Liczba wersji językowych,Liczba wyświetleń strony kategorii w dniach (01-01-2019 do 01-08-2019),Liczba wyświetleń artykułów 11.08.2019Suma punktów
Prečnouste,4,2,14,41,27,92,1,181
Stalo,28,3,3,13,2,46,2,97
Slovenski_mediji,4,1,1,5,21,84,0,116
Shuswap,19,2,2,8,1,40,0,72
Nijemci_u_Srbiji,5,1,1,1,5,69,0,82
Mađarski_književnici,27,1,1,4,71,521,2,627
Srpski_pjesnici,21,1,1,1,34,320,0,378
Ahemenidsko_Perzijsko_Carstvo,40,3,7,225,46,98,1,420
Britanska_Kolumbija,2,2,2,104,79,83,2,274
Kanadski_Indijanci,285,14,19,168,27,218,2,733
Yukon,1,1,1,5,57,61,0,126
Quebec,3,2,3,14,84,91,5,202
Ontario,4,2,2,17,83,98,7,213
Novi_Brunswick,1,1,1,3,60,57,0,123
Hrvatski_stručni_i_znanstveni_časopisi,61,2,2,35,1,268,3,372
Računalni_časopisi,3,1,1,10,32,80,2,129
Otok_Princa_Edwarda,1,1,1,3,57,74,0,137
Chilcotin,7,1,1,2,2,41,0,54
Nova_Škotska,1,2,2,11,69,72,2,159
Saskatchewan,1,1,1,1,64,73,0,141
Alberta,1,2,2,6,74,85,2,172
Šport_na_Jamajci,3,2,3,11,49,67,4,139
Borovke,9,5,5,28,77,118,4,246
Građevine_u_Švicarskoj,10,2,2,8,58,132,2,214
Sjeverozapadni_teritoriji,0,2,2,5,56,61,0,126
Građevine_u_Južnoafričkoj_Republici,1,1,1,10,37,63,0,113
Nogomet_u_Južnoafričkoj_Republici,7,2,2,19,44,49,1,124
Šport_u_Južnoafričkoj_Republici,3,4,7,48,53,62,1,178
Micmac,2,8,8,12,1,27,0,58
Šport_u_Barbadosu,2,1,1,3,33,42,0,82
Književni_časopisi,5,1,1,25,41,160,3,236
Gradovi_u_Krapinsko-zagorskoj_županiji,7,2,3,28,9,544,1,594
Cvjetnjače,4,3,484,3569,88,1240,2,5390
Ženski_nogometni_klubovi,4,1,7,59,28,129,3,231
Šport_na_Bermudima,1,1,1,2,0,27,0,32
Nizozemski_Antili,10,5,6,22,66,167,1,277
Reprezentacije_u_hokeju_na_travi,81,2,2,139,18,69,0,311
Zmije,23,2,2,12,92,328,13,472
Panameričke_igre,5,1,1,5,33,61,0,106
Administrativne_podjele_po_državama,9,6,290,7614,83,234,3,8239
Centralni_Gé,4,2,2,23,0,34,0,65
Sjeverozapadni_Gé,3,1,1,14,0,22,0,41
Brazilska_glazba,5,3,6,25,54,168,1,262
Zajednice_katoličkih_laika,10,2,2,46,12,98,2,172
Hrvatska_odlikovanja,27,3,4,153,15,442,3,647
Šport_u_Dominikanskoj_Republici,3,2,2,6,35,51,0,99
Arhivistika,9,3,17,422,41,140,1,633
Papuanci,4,4,4,22,7,61,1,103
Onkologija,14,1,4,51,75,187,2,334
Elektrane,4,7,18,240,67,147,2,485
Hidroenergija,4,1,8,105,34,98,5,255
Sjeverni_i_istočni_malajsko-sumbavski_jezici,2,2,2,4,0,22,0,32
Malajsko-polinezijski_jezici,24,16,116,603,60,83,2,904
1._stoljeće_pr._Kr.,6,2,2,121,95,191,1,418
Godine_pr._Kr.,0,18,18,996,1,61,1,1095
2._stoljeće_pr._Kr.,6,2,2,106,89,137,1,343
3._stoljeće_pr._Kr.,6,2,2,110,90,114,1,325
4._stoljeće_pr._Kr.,6,1,1,100,92,87,1,288
5._stoljeće_pr._Kr.,6,1,1,100,92,81,1,282
8._stoljeće_pr._Kr.,5,1,1,100,77,61,2,247
10._stoljeće_pr._Kr.,5,1,1,100,70,142,1,320
6._stoljeće_pr._Kr.,6,1,1,71,89,96,1,265
7._stoljeće_pr._Kr.,5,1,1,100,86,67,1,261
Somalija,24,5,8,61,123,134,1,356
Centralni-istočni_malajsko-polinezijski_jezici,5,2,57,360,4,29,2,459
Kršćanstvo_u_Mađarskoj,2,4,10,59,32,53,2,162
Religija_u_Mađarskoj,1,1,11,61,38,85,2,199
Istočni_malajsko-polinezijski_jezici,3,2,44,294,10,46,2,401
Južnosemitski_jezici,3,2,2,30,13,44,2,96
Malajsko-sumbavski_jezici,3,2,4,8,0,32,0,49
Europska_prvenstva_u_rukometu,31,1,1,2,22,270,0,327
Bačka,281,12,23,750,10,209,1,1286
Naselja_u_Zeničko-dobojskoj_županiji,424,3,10,385,4,107,1,934
Juto-astečki_jezici,1,3,3,12,1,29,2,51
Otomang_jezici,0,4,4,13,0,29,0,50
Oto-Manguean_jezici,8,1,5,13,1,44,0,72
Etničke_grupe_Novog_Zelanda,10,1,1,11,27,101,1,152
Hrvatski_nogometni_klubovi_u_Bosni_i_Hercegovini,120,4,9,100,3,438,1,675
Hrvatski_šport_u_Bosni_i_Hercegovini,27,6,28,473,1,70,1,606
Nogometni_klubovi_u_Hercegovačko-neretvanskoj_županiji,37,2,5,81,0,388,5,518
Šport_u_Mostaru,26,2,5,81,10,53,5,182
HŠK_Zrinjski_Mostar,10,2,2,50,12,94,1,171
Nogometaši_bosanskohercegovačkih_nogometnih_klubova,0,10,10,227,32,51,1,331
Oceanijski_jezici,8,6,40,273,39,60,2,428
Afrička_prvenstva,5,1,1,3,6,65,0,81
Azijska_prvenstva,9,2,2,23,15,81,1,133
Centralnopacifički_jezici,4,2,4,43,1,30,4,88
Zapadnooceanijski_jezici,4,3,10,103,5,35,0,160
Bantoid_jezici,4,3,37,369,20,33,2,468
Crkve_po_gradovima,0,1,1,10,28,68,1,109
Crkve_u_Bosni_i_Hercegovini,15,3,3,99,21,279,1,421
Građevine_u_Sarajevu,45,4,4,34,21,280,1,389
Alacalufan,14,1,1,4,1,60,0,81
Svjetska_prvenstva_u_hokeju_na_travi,32,1,1,9,19,66,0,128
Okcitanski_jezici,5,1,1,6,0,45,2,60
East_Bird’s_Head-Sentani_jezici,4,2,2,9,0,32,0,49
Transnovogvinejski_jezici,27,26,32,209,16,50,0,360
Športski_djelatnici,52,2,2,101,46,103,1,307
Lolo-burmanski_jezici,5,2,2,32,12,37,0,90
Nilsko-saharski_jezici,11,7,29,94,50,66,1,258
Arapska_kultura,11,2,2,50,66,170,2,303
Južni_centralnosemitski_jezici,4,2,2,48,0,29,1,86
Semitski_jezici,5,3,11,115,113,116,3,366
Aramejski_jezici,3,2,2,25,1,42,9,84
Aramejci,3,1,3,28,21,107,1,164
Centralnosemitski_jezici,4,2,6,78,25,66,3,184
Filipinski_jezici,9,8,21,98,25,67,3,231
Andamanski_jezici,3,2,2,15,24,58,1,105
Kavkaski_jezici,3,2,10,31,15,81,3,145
Istočnosudanski_jezici,5,4,12,39,10,45,1,116
Jivaroan,7,1,1,3,3,48,0,63
Macro-Ge_jezici,19,2,2,9,1,40,0,73
Platoid_jezici,2,3,3,62,3,31,0,104
Brazilski_nogometaši,110,2,2,21,93,1291,3,1522
Džamije_u_Bosni_i_Hercegovini,12,2,2,10,21,135,2,184
Tibetsko-kanaurski_jezici,4,2,4,36,0,21,2,69
Znakovni_jezici,3,1,1,41,66,88,0,200
Američki_heavy_metal_sastavi,92,5,13,179,40,274,8,611
Armenska_glazba,3,1,1,9,44,67,1,126
Životopisi,_Armenija,19,4,6,28,85,152,1,295
System_of_a_Down,8,2,2,17,29,91,1,150
Guam,9,2,2,3,77,100,2,195
Tonga,9,1,1,4,103,133,29,280
Jezici_Filipina,83,1,21,98,63,229,3,498
Crnogorski_jezik,32,1,1,2,16,96,0,148
Crnogorski_književnici,40,6,6,27,24,409,1,513
Književni_kritičari,48,2,4,147,54,123,1,379
Oružane_snage_NDH,3,5,12,148,3,126,2,299
Sjeverozapadni_indoarijski_jezici,3,2,6,16,0,30,1,58
Daleki_oceanijski_jezici,3,3,11,49,0,25,0,91
Crnogorska_umjetnost,0,1,9,83,8,35,1,137
Crnogorska_kultura,13,1,10,83,45,120,1,273
Surinam,16,3,5,44,117,188,1,374
Francuska_Gijana,10,3,3,14,0,56,7,93
Ekvatorska_Gvineja,9,2,6,22,115,137,7,298
Urugvajska_kultura,5,5,31,163,47,78,1,330
Gvadalupa,8,1,1,4,78,90,7,189
Reunion,4,1,1,3,78,93,7,187
Raspršeni_otoci,6,1,2,7,16,141,7,180
Komori,8,2,3,42,118,163,7,343
Epizode_Zvjezdanih_staza,0,3,3,51,9,36,1,103
Športski_objekti_u_Poljskoj,7,1,1,7,27,48,0,91
Sezone_UEFA_Europske_lige,5,3,3,13,19,69,1,113
Slike_prema_razdoblju_ili_stilu,0,9,21,189,25,65,1,310
Sveti_Toma_i_Princip,9,2,5,14,106,153,9,298
Namibijski_športaši,4,1,1,2,28,57,0,93
Istočni_indoarijski_jezici,5,3,3,14,0,30,2,57
Vatreno_oružje,34,7,7,213,74,597,3,935
Singlovi_1990-ih,5,10,10,142,14,65,1,247
Žestoka_alkoholna_pića,31,1,1,28,50,1816,1,1928
Zloćudni_softver,4,3,3,51,46,129,1,237
Svjetska_baština_po_državama,0,72,103,1726,53,113,1,2068
Svjetska_baština_u_Europi,30,32,63,1147,53,128,3,1456
Piratski_filmovi,7,1,1,15,31,161,1,217
FC_Bayern_München,11,3,3,143,53,135,1,349
Dramske_serije,129,2,6,149,47,381,1,715
Obitelj_Soprano,7,2,2,128,15,99,1,254
Popisi_kineskih_gradova,0,1,1,0,0,32,0,34
Filmski_infookviri,0,1,1,0,33,75,0,110
Književni_infookviri,0,1,1,0,19,71,0,92
Medijski_predlošci,0,1,1,0,0,35,0,37
Infookviri_športskih_natjecanja,0,1,1,0,11,32,0,45
Nogometni_infookviri,0,1,1,0,36,155,0,193
Znanstveni_infookviri,0,9,16,0,0,49,0,74
NK_Zadar,2,2,2,68,7,45,3,129
Talijanski_glazbeni_albumi,10,5,5,42,16,40,0,118
Zucchero,1,1,1,7,1,50,0,61
Ramu-donjosepički_jezici,4,2,2,20,0,17,0,45
Građevine_u_SAD-u,26,6,9,91,73,248,1,454
Grenland,18,3,6,21,112,159,5,324
Mletačka_Republika,34,3,8,53,46,151,1,296
Filmski_studiji,25,1,1,12,46,307,1,393
Građevine_u_Ukrajini,29,2,2,11,49,121,0,214
Indoarijski_jezici,15,8,23,108,91,103,1,349
Sjeveroistočni_kavkaski_jezici,3,6,6,17,51,64,1,148
Lady_Gaga,2,2,2,23,52,179,0,260
Centralni_indoarijski_jezici,11,6,6,41,0,36,1,101
Adamawa-ubanški_jezici,3,2,10,60,6,26,0,107
Premjestiti_na_Zajednički_poslužitelj,1,1,1,0,45,252,0,300
Hrvatski_rock_sastavi,96,8,14,164,11,12132,7,12432
Hrvatski_sastavi_novog_vala,10,1,2,32,1,677,5,728
Kotari_u_Austriji,18,2,2,0,47,71,0,140
Skupni_predlošci_administrativne_podjele_Austrije,0,1,1,0,9,44,0,55
Turkijski_jezici,8,5,5,54,115,122,1,310
U_izradi,_Zoologija,77,1,1,65,8,197,3,352
Torricelli_jezici,3,5,7,28,2,29,0,74
Velikocentralnofilipinski_jezici,4,8,8,45,0,31,3,99
Avril_Lavigne,6,2,3,38,32,86,3,170
Kanadske_skladbe,11,3,3,39,24,46,1,127
Američki_punk_sastavi,19,2,3,13,14,116,4,171
NBA_liga,12,4,4,36,66,137,1,260
Katoličanstvo_u_Sloveniji,13,3,5,22,19,73,1,136
Nogometaši_njemačkih_nogometnih_klubova,0,25,25,413,50,83,2,598
Nogometni_treneri,85,2,47,613,77,309,2,1135
Estonski_glazbenici,1,2,2,10,52,73,0,140
Sveti_Kristofor_i_Nevis,10,1,1,2,92,91,29,226
Tajvanski_jezici,11,2,2,8,19,49,0,91
Sepički_jezici,4,9,9,20,6,34,0,82
Dr._House,1,2,2,13,24,98,1,141
Sjeverni_mon-khmerski_jezici,4,3,3,21,0,38,0,69
Izumrli_jezici,244,2,2,86,98,353,1,786
Sveta_Lucija,10,2,2,3,102,102,29,250
Grenada,10,1,1,2,100,97,29,240
Borbena_vozila_pješaštva,26,1,1,6,32,229,1,296
Oklopni_transporteri,35,1,1,6,34,205,3,285
Oružje_u_Prvom_svjetskom_ratu,3,1,4,25,21,774,1,829
Tenkovi_u_Prvom_svjetskom_ratu,3,3,3,22,31,231,1,294
Rimski_arheološki_lokaliteti_u_Italiji,28,1,18,272,9,97,3,428
Češka_umjetnost,0,1,3,29,0,0,7,40
Australski_filmski_glumci,31,1,4,86,37,671,1,831
Australski_pjevači,15,1,4,86,75,257,1,439
Arhitektura_neoklasicizma,18,1,1,10,34,101,2,167
Motocikli,9,2,5,45,60,181,6,308
Kartaške_igre,25,1,1,15,73,5942,11,6068
Australske_skladbe,5,1,1,32,19,64,2,124
Kylie_Minogue,5,2,3,81,33,87,1,212
Ranokršćanski_lokaliteti,14,1,1,12,5,70,6,109
Čadski_jezici,5,4,4,211,35,54,2,315
Primijenjene_umjetnosti,47,6,9,117,13,184,4,380
Američki_hip_hop_glazbeni_sastavi,32,1,3,22,34,103,1,196
Zaljevi_po_državama,0,5,5,38,53,209,10,320
Izolirani_jezici,24,2,5,28,69,94,8,230
Poduzetnici,51,4,4,138,79,288,3,567
Koncertne_turneje,36,2,2,15,39,160,0,254
Malavi,11,2,3,9,120,131,2,278
Šport_u_Keniji,1,2,3,13,0,43,0,62
Šport_u_Nigeriji,2,2,3,20,46,56,2,131
Black_Eyed_Peas,6,2,2,16,17,48,1,92
Himalajski_jezici,4,2,8,63,0,35,2,114
Zaparoan,17,1,1,8,3,36,0,66
Ukrajinska_glazba,4,1,5,33,0,29,1,73
Ukrajinski_umjetnici,4,4,10,91,39,87,2,237
Nhambicuaran,7,3,3,23,1,33,0,70
Ukrajinci,21,6,20,188,61,112,2,410
Ukrajinska_književnost,12,1,1,33,42,76,2,167
Tvrtke_prehrambene_industrije,16,2,3,26,46,152,5,250
Diskografske_kuće_po_državama,0,5,5,72,42,123,2,249
Britney_Spears,2,2,2,39,40,120,1,206
Tucanoan,33,1,1,6,10,47,0,98
Bantu_jezici,6,2,18,244,73,78,2,423
Iranski_vladari,8,6,7,122,23,259,1,426
Životopisi,_Medija,7,1,1,5,13,49,0,76
Zapotecan,7,2,2,13,8,52,0,84
Ezoterija,94,15,21,399,76,351,5,961
Iranske_bitke,2,3,3,34,23,90,4,159
Medijsko_Carstvo,6,2,3,18,31,116,1,177
Calianan,4,1,1,3,1,35,0,45
Panoan,46,1,1,11,3,64,0,126
Zamucoan,7,1,1,2,3,44,0,58
Pravila_Wikipedije,0,1,2,0,71,494,0,568
Prijedlozi_(Wikipedija),0,2,3,0,30,193,0,228
Jezera_u_Izraelu,1,1,1,2,51,87,7,150
Jezera_u_Jordanu,0,1,1,2,25,72,7,108
Makarsko_primorje,23,1,2,55,2,57,5,145
Makú,6,1,1,3,2,22,0,35
Na-Déné_jezici,5,1,2,17,0,39,0,64
Peba-Yagua,5,1,1,3,7,43,0,60
Arauan,14,1,1,9,9,55,0,89
Popolocan,5,1,3,4,1,36,0,50
NK_Slaven_Belupo_Koprivnica,2,2,2,84,11,42,1,144
Predlošci_popisa_naselja_po_gradovima_i_općinama_Hrvatske,0,20,20,0,3,51,0,94
Nogometaši_po_klubovima,0,32,331,2687,64,160,2,3276
Glavni_gradovi_u_Južnoj_Americi,14,2,7,177,80,865,4,1149
Gradovi_u_Argentini,9,1,1,30,95,300,1,437
Sociolozi,19,1,6,60,85,206,1,378
Chocoan,10,1,1,6,1,40,0,59
Političke_stranke_Hrvata_u_Srbiji,0,1,1,10,1,58,2,73
Perzijanci,9,3,3,61,58,113,4,251
Životopisi,_Ahemenidsko_Perzijsko_Carstvo,23,3,3,144,29,101,1,304
Iranske_kraljice,7,1,1,18,8,70,0,105
Princeze,6,12,12,180,48,140,1,399
Ginekologija_i_porodništvo,8,6,14,137,19,205,10,399
Ženski_spolni_sustav,10,3,5,32,0,169,2,221
Keresan,9,2,2,3,2,40,0,58
Pitcairn,9,1,1,2,67,95,29,204
U_izradi,_Medicina,166,1,1,57,64,485,2,776
Krv,9,3,9,66,89,209,2,387
Ortopedija,13,1,1,18,44,125,9,211
Kardiologija,10,2,3,31,78,201,1,326
Chon,13,1,1,1,1,39,1,57
Bolesti_imunosnog_sustava,2,1,1,13,38,103,6,164
Znakovi_bolesti,22,1,1,9,34,227,1,295
Hrvatski_predlošci,1,6,14,0,42,103,0,166
Gradovi_u_Grčkoj,73,2,4,42,100,523,6,750
Slovenska_kultura,0,6,42,265,50,101,1,465
Vatikan,45,4,12,21,128,370,3,583
Gradovi_u_Venetu,16,1,2,117,13,122,1,272
Građevine_u_Sjevernoj_Makedoniji,6,1,2,11,33,29,3,85
Religija_u_Sjevernoj_Makedoniji,3,3,6,18,29,28,2,89
Dalmatinsko_komunalno_plemstvo,32,7,14,126,1,176,3,359
Povijest_Splita,35,2,3,51,7,161,1,260
Tibetski_jezici,4,2,2,22,0,31,2,63
Hrvatsko_plemstvo_u_Bačkoj,57,1,1,11,0,123,1,194
Martinik,7,1,1,2,81,80,7,179
Mačvanski_okrug,16,1,1,17,11,48,4,98
Toksikologija,8,1,1,9,78,258,2,357
Ugostiteljstvo,29,4,11,107,41,273,2,467
Rajasthan,6,1,1,3,59,86,0,156
Novinarske_nagrade,3,1,1,20,38,85,1,149
Albumi_Kylie_Minogue,36,1,1,14,36,56,1,145
Chirianan,14,1,1,4,9,48,0,77
Atapaskanski_jezici,11,1,1,6,0,52,0,71
Sjeverni_bantoid_jezici,4,2,7,14,0,26,1,54
Hrvatski_književni_kritičari,119,2,2,25,6,282,2,438
Predlošci_za_građevine,0,2,2,0,0,27,0,31
Arhitekturni_predlošci,0,1,3,0,31,72,0,107
Općine_u_Vojvodini,44,23,37,873,9,194,2,1182
Hokej_na_travi_u_Južnoj_Koreji,5,1,1,17,2,35,0,61
Južnokorejski_športaši,8,3,3,42,53,77,1,187
Soli,17,4,6,72,78,176,2,355
Južnoamerička_prvenstva,3,2,2,12,0,47,0,66
Željezo,9,1,1,13,70,116,2,212
Srebro,2,1,1,3,52,115,0,174
Zemljopis_Komora,5,1,1,34,47,87,0,175
Aktualno,18,3,6,16,0,189,1,233
Glazbene_ljestvice,48,2,10,28,45,235,0,368
Broj_1_albumi_po_državama,0,2,2,2,0,38,0,44
Broj_1_singlovi_po_državama,1,6,6,25,0,45,0,83
Njemački_glazbeni_sastavi,24,3,11,91,70,169,3,371
Bosanskohercegovački_glumci,1,3,3,33,25,194,4,263
Televizija_u_Bosni_i_Hercegovini,2,2,2,38,14,57,4,119
Naselja_u_Sloveniji,19,94,94,3039,44,166,2,3458
Šport_u_Izraelu,1,6,16,72,58,93,3,249
Šport_u_Kazahstanu,7,4,5,43,52,72,1,184
Šport_u_Latviji,8,3,5,41,48,87,1,193
Šport_u_Litvi,4,5,8,60,52,144,1,274
Šport_u_Kostarici,0,2,3,18,47,82,0,152
Španjolski_otoci,2,2,3,18,72,743,10,850
Mađari_u_Srbiji,2,1,2,25,2,33,1,66
Šport_po_gradovima,0,11,249,3555,47,100,2,3964
Povijest_športa,19,4,220,752,58,175,1,1229
Čehoslovačka,34,2,4,30,85,146,1,302
Šport_u_Bosni_i_Hercegovini_po_gradovima,0,16,37,398,18,55,9,533
Poluotoci,42,3,74,1828,109,1954,1,4011
Ratna_mornarica_SAD-a,1,1,10,99,0,56,3,170
Američki_ratni_brodovi,8,5,9,91,35,386,3,537
Krstarice,11,2,2,42,40,134,1,232
Športski_objekti_po_državama,0,19,32,368,57,101,1,578
Arch_Enemy,6,1,1,10,9,42,0,69
Šomođska_županija,5,2,2,84,25,56,1,175
Automobilizam_po_državama,0,2,3,61,0,34,1,101
Američki_nogomet_po_državama,0,2,10,221,31,63,2,329
Građevine_u_Japanu,11,1,2,13,61,232,1,321
DR_Njemačka,16,2,4,39,69,196,4,330
Sjeverna_Irska,29,2,6,26,98,158,9,328
Wales,32,2,7,47,113,142,1,344
Životopisi,_Škotska,71,2,5,49,90,186,1,404
Športske_nagrade,9,2,40,1055,0,60,6,1172
Športske_manifestacije,5,1,826,6090,53,133,4,7112
Športska_natjecanja,11,8,825,6084,76,196,4,7204
Športska_natjecanja_po_sezonama,0,1,9,143,0,34,4,191
Šport_u_hrvatskoj_dijaspori,13,2,25,386,0,70,1,497
Šport_u_Bjelorusiji,10,5,8,56,50,82,1,212
Šport_u_Estoniji,11,3,3,23,52,86,0,178
Životopisi,_Estonija,4,2,5,20,33,131,0,195
Šport_u_Etiopiji,1,1,2,7,1,38,0,50
Životopisi,_Etiopija,5,2,4,28,67,135,1,242
Šport_u_Finskoj,4,6,14,95,58,182,1,360
Životopisi,_Gruzija,7,4,8,75,75,199,1,369
Životopisi,_Jamajka,4,2,7,41,74,133,16,277
Životopisi,_Latvija,9,3,5,42,73,150,2,284
Životopisi,_Novi_Zeland,8,3,8,61,84,142,1,307
Životopisi,_Urugvaj,3,10,28,148,79,136,1,405
Streljaštvo,14,2,5,67,49,152,1,290
Građevine_u_Crnoj_Gori,42,3,6,22,39,106,1,219
Građevine_u_Grčkoj,6,2,2,14,59,127,4,214
Građevine_u_Poljskoj,10,4,6,32,51,99,2,204
Vještine,6,1,52,530,54,165,6,814
Biografski_infookviri,0,1,1,0,75,197,0,274
Predlošci_za_športaše,0,2,29,1,8,30,0,70
Mostar,92,7,14,301,31,140,1,586
Uskoplje,84,2,2,45,7,73,2,215
Šport_u_Hrvatskoj_po_gradovima,0,35,188,2838,23,112,2,3198
Metković,23,4,10,134,14,87,3,275
Elektrane_u_Hrvatskoj,6,2,2,57,11,1197,1,1276
Hidroelektrane_po_državama,0,3,3,45,34,90,1,176
Zdravstvene_ustanove,6,4,5,46,51,604,6,722
Bolnice,11,1,1,13,82,203,1,312
Zdravstvene_ustanove_u_Hrvatskoj,10,1,1,13,0,201,1,227
Baltički_jezici,12,1,1,2,88,92,4,200
Građevine_u_Španjolskoj,17,6,7,69,63,205,1,368
Hokej_na_ledu_u_Austriji,3,3,7,73,23,55,1,165
Livno,88,3,3,98,10,105,1,308
Neindeksirane_stranice,0,9,9,10,119,384,2,533
Naselja_u_županiji_Središnja_Bosna,527,5,7,78,2,129,1,749
Imunologija,8,2,3,20,74,109,2,218
Imunosni_sustav,5,1,2,15,0,67,2,92
Hokej_na_ledu_u_Sloveniji,2,2,2,18,20,60,1,105
Akademije_znanosti_i_umjetnosti,9,2,6,278,44,167,1,507
Akademici,26,2,2,253,32,131,1,447
SANU,3,1,1,32,18,81,1,137
Zemljopis_Jemena,11,2,2,63,68,89,1,236
Nizozemski_glazbeni_albumi,9,2,2,11,13,36,1,74
Turski_umjetnici,4,2,7,67,41,90,2,213
Britanske_tvrtke,28,6,7,57,74,359,1,532
Saska_(savezna_država),8,2,2,10,83,93,1,199
Naselja_u_Albaniji,16,1,1,15,0,60,1,94
Općine_u_Šibensko-kninskoj_županiji,15,1,1,14,6,107,3,147
HNK_Rijeka,10,2,2,156,15,128,2,315
Česi,7,1,1,34,6,52,7,108
World_Wide_Web,9,1,4,96,88,295,1,494
Akustika,40,1,1,45,75,328,1,491
Pariz,26,2,5,62,126,217,1,439
Jezici_po_kontinentima,0,5,5,114,67,63,1,255
Slobodno_zidarstvo,9,2,6,139,63,161,1,381
Katoličanstvo_u_Albaniji,1,2,2,13,5,65,1,89
Hokej_na_travi_u_Engleskoj,14,2,2,30,10,55,0,113
Općina_Subotica,17,4,9,443,5,43,1,522
Heavy_metal_sastavi_po_državama,0,14,59,766,38,105,1,983
Heavy_metal,12,5,112,1007,55,114,1,1306
Glazbeni_albumi_2010-ih,1,10,10,415,24,91,2,553
Hokej_na_travi_u_Irskoj,5,1,1,12,11,34,0,64
Irski_športaši,6,2,2,17,53,75,0,155
Šport_u_Walesu,7,3,5,32,53,81,2,183
Hokej_na_travi_u_Walesu,0,1,1,13,8,30,0,53
Velški_športaši,1,2,2,20,0,45,2,72
Životopisi,_Wales,8,1,3,21,72,138,2,245
Finski_glazbeni_sastavi,6,1,4,42,60,92,1,206
Švedski_glazbeni_sastavi,8,3,7,102,70,133,8,331
Norveški_glazbeni_sastavi,4,1,3,48,56,102,2,216
Heavy_metal_glazbenici,23,6,6,155,28,110,1,329
Hrvatski_košarkaški_klubovi_u_Bosni_i_Hercegovini,20,1,2,8,1,78,0,110
Šport_u_Širokom_Brijegu,4,2,4,38,3,33,1,85
Hokej_na_travi_u_Danskoj,0,1,2,46,8,29,1,87
Belgijski_športaši,11,3,4,88,67,96,8,277
Hokej_na_travi_u_Belgiji,7,1,2,63,11,27,1,112
Astrologija,34,1,1,37,98,258,4,433
Slovenski_glazbeni_albumi,0,1,1,10,0,22,1,35
Nacizam,50,1,1,9,86,207,4,358
Hokej_na_travi_u_Indiji,10,1,2,67,16,63,1,160
Indijski_športaši,7,2,3,72,64,72,1,221
Hokej_na_travi_u_Nizozemskoj,23,2,3,47,16,60,0,151
Knjige,102,6,8,1137,161,381,1,1796
Hokej_na_travi_u_Pakistanu,16,1,2,29,13,35,1,97
Pakistanski_športaši,0,1,2,29,36,57,1,126
Životopisi,_Pakistan,5,2,4,34,84,157,1,287
Hokej_na_travi_u_Francuskoj,6,1,2,35,11,31,0,86
Hokej_na_travi_u_Švicarskoj,2,1,2,33,12,27,1,78
Nogomet_u_Irskoj,5,2,3,23,31,62,0,126
Irski_nogometni_klubovi,18,1,1,18,41,171,0,250
Zemljopis_Tanzanije,13,5,7,84,78,81,4,272
Gradovi_u_Tanzaniji,24,1,1,22,63,109,1,221
U_izradi,_Gradovi_u_Africi,22,25,25,334,0,82,1,489
Hokej_na_travi_u_Japanu,5,1,2,20,8,31,0,67
Zemljopis_Kenije,6,3,5,33,74,98,4,223
Gradovi_u_Keniji,16,1,1,15,69,111,1,214
Hokej_na_travi_u_SAD-u,6,1,2,37,11,34,1,92
FIFA_serijal,44,1,1,16,25,64,0,151
Zemljopis_Ugande,3,2,4,21,73,72,1,176
Gradovi_u_Ugandi,11,1,1,11,35,66,1,126
Hrvatski_književnici_iz_Austrije,0,2,2,64,0,60,1,129
Gradovi_u_Lombardiji,13,1,1,10,11,120,7,163
Singlovi_2010-ih,5,9,9,137,16,87,1,264
Prometna_infrastruktura_u_Mađarskoj,1,3,3,20,12,52,2,93
Željeznički_promet_u_Mađarskoj,1,1,1,12,25,50,0,90
Građevine_u_Mađarskoj,21,1,4,20,43,113,2,204
Promet_Mađarske,1,2,5,21,45,86,2,162
Kam-Tai_jezici,5,2,7,33,0,35,1,83
Zemljopis_Nigerije,3,3,4,45,74,82,2,213
Gradovi_u_Nigeriji,41,1,1,39,76,427,2,587
Hokej_na_travi_u_Mađarskoj,0,1,2,15,0,15,1,34
Simpsoni,5,1,1,6,61,129,2,205
Ugljikovodici,27,1,1,8,76,158,1,272
Svazi,3,2,5,14,0,104,2,130
Gibraltar,9,2,2,11,86,117,29,256
Aymaran,8,1,1,3,1,48,2,64
Klapsko_pjevanje,19,3,3,94,1,87,1,208
Pop_glazbeni_sastavi,67,6,12,151,63,304,1,604
Sastavi_novog_vala,19,1,3,42,0,73,7,145
Keltska_mitologija,10,1,1,2,55,129,0,198
Hokej_na_ledu_u_Rusiji,14,3,3,26,37,102,1,186
Zemljopis_Demokratske_Republike_Konga,3,2,4,49,75,72,1,206
Gradovi_u_Demokratskoj_Republici_Kongu,29,1,1,28,54,92,1,206
KHL_Medveščak,5,2,2,48,9,58,1,125
Američki_klubovi_u_hokeju_na_ledu,26,1,1,29,33,131,1,222
Austrijska_hokejska_liga_(EBEL),4,1,4,63,9,44,1,126
Hrvatski_klubovi_u_hokeju_na_ledu,14,1,3,53,18,237,1,327
Klubovi_u_Austrijskoj_hokejskoj_ligi,11,1,3,53,0,50,1,119
Kultura_u_Puli,17,4,5,76,4,49,5,160
Nepropisno_postavljene_slike,0,1,1,0,0,33,0,35
Duhovnost,20,5,10,131,73,245,1,485
